"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142"
"1973",,,"7.0174758145269056","5.2380355614761891","2.2175079065228025",,"0.63821992333231681",,,"1.7794402530507165","3.0205276549533866",,,"1.5792879831904858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232000","2121.998","366534",,"0.11390305314471513","13870.461655028834",,,,,"97335.629200487674","145307.94280626581","307578.58387147798","885240.49740563426",,,,"49363.315594709537","104740.28253996279","243393.92681212726",,,"41068.46502558529","61309.247354708394","166301.04297110086","455222.76215052232",,,,,,,,,,,,,,,,,,,"2.0012637882595583","1.9987378068852815"
"1974",,,"6.6500587651611234","4.766908642397234","2.0116393644393731",,"0.54095757741445682",,,"1.8831501227638894","2.7552692779578609",,,"1.4706817870249163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237200","2141.058","429030",,"0.14648124512112193","12347.838873984138",,,,,"82113.854134735477","117722.03968664703","248393.98744661233","667965.70035745134",,,,"46505.668582823906","85054.052746655711","201774.90823429689",,,"39440.360898053084","56543.439347979947","139950.02800790145","378584.14700637659",,,,,,,,,,,,,,,,,,,"2.0801929251651381","1.9257605532336937"
"1975",,,"7.2387306753516558","5.2988574962640733","2.2522191989729148",,"0.6236916348984729",,,"1.9398731790875825","3.0466382972911585",,,"1.6285275640744419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242800","2122.777","452361",,"0.1548872133364522","12028.761302006664",,,,,"87072.963423318564","127477.38399181842","270914.07144241844","750223.78022520198",,,,"46668.542854818712","91618.212129168402","217657.43713322029",,,"39187.658357436536","57371.88647048275","147140.7019460708","418548.97779007693",,,,,,,,,,,,,,,,,,,"2.0286105587580803","1.9721852371488156"
"1976",,,"7.2666438716055186","5.1937370754850942","2.1613233293111116",,"0.61533284017216228",,,"2.0729067961204244","3.0324137461739826",,,"1.5459904891389493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248000","2200.6","486661",,"0.14306252181591142","13716.679372257731",,,,,"99674.224099194471","142481.65241647317","296461.79127941129","844032.32758622617",,,,"56866.795781915775","103986.61770073864","235620.62057865405",,,"46344.416390186991","72302.632381164149","164673.20225239586","438315.1205167122",,,,,,,,,,,,,,,,,,,"2.1124416137037572","1.8989235818593708"
"1977",,,"6.1761411989057935","4.5467010488952937","1.8961854072605175",,"0.51392316678139471",,,"1.6294401500104998","2.6505156416347759",,,"1.3822622404791227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"253600","1625.2169999999999","558243",,"0.15496769170691785","14204.726385607817",,,,,"87730.395849336623","129169.28871342744","269347.94886517979","730013.79673548043",,,,"46291.50298524581","94124.623675489333","218162.85465736859",,,"36795.61055457544","66887.426473008658","153102.28161875962","396949.28136205126",,,,,,,,,,,,,,,,,,,"2.0526985871528254","1.9499395289440291"
"1978",,,"6.0456497888566005","4.3291659401154625","1.8053649086470542",,"0.51317070190596215",,,"1.716483848741138","2.5238010314684081",,,"1.2921942067410921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259200","1516.155","597086",,"0.15886902761254526","14499.821428266196",,,,,"87660.842356255933","125544.26613001271","261774.68788240402","744088.35398544732",,,,"49777.418582499165","91486.660691914876","208184.28053762141",,,"40758.687774984122","63707.717924472068","145405.84112435891","386413.13358805497",,,,,,,,,,,,,,,,,,,"2.1047225284108269","1.9052046774483065"
"1979",,,"5.6110146536156691","3.8975628719086295","1.6590753855709965",,"0.45745903100552882",,,"1.7134517817070396","2.2384874863376329",,,"1.2016163545654677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"265600","1196.2560000000001","646268",,"0.1688033393729628","14414.631611233162",,,,,"80880.709197100921","112363.86596036569","239149.60498270535","659410.34091763862",,,,"49397.552433836157","80667.431204780747","192453.9676566016",,,"42518.130291014088","59068.491613524515","129162.82534260888","379298.86853682488",,,,,,,,,,,,,,,,,,,"2.1239326728536274","1.8897330099507059"
"1980",,,"4.7779777638690479","3.3010129619422708","1.3913268655330169",,"0.39501695333486836",,,"1.4769648019267771","1.9096860964092539",,,"0.99630991219814846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"271600","1156.617","774795",,"0.18798825384353579","15174.917194248432",,,,,"72505.416922673088","100185.19670922942","211132.69974596755","599434.95571809239",,,,"44825.637136116762","72448.320950044887","167988.00463795365",,,"38681.011751672537","53447.934454142807","114482.22901465942","334973.24357094691",,,,,,,,,,,,,,,,,,,"2.1543132566539107","1.8663159625306311"
"1981",,,"4.3860382050970355","2.9963023375832507","1.2111693075442631",,"0.30358798038891133",,,"1.3897358675137848","1.7851330300389876",,,"0.90758132715535178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"276800","1016.01","901649",,"0.21264311907634956","15318.635612553388",,,,,"67188.121046619184","91798.527388959497","185534.61287379172","465055.36479287362",,,,"42577.714704278878","68364.506017751424","154476.75154944931",,,"36935.673455770011","50464.879483778619","104106.13020758134","274623.59514267952",,,,,,,,,,,,,,,,,,,"2.2668928755740856","1.7893327204534601"
"1982",,,"4.5064533012439361","3.1261336614794968","1.3318993379788799",,"0.34326843388815043",,,"1.3803196397644393","1.7942343235006168",,,"0.98863090409072951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283200","890.55899999999997","993125",,"0.22941487116793546","15285.832598956271",,,,,"68884.890777828667","95571.111662675641","203591.90319005839","524714.38169201557",,,,"42198.669892981685","68565.913780829942","167911.62780095206",,,"36344.562285354827","50424.558728090436","109084.12083007689","328208.37292871048",,,,,,,,,,,,,,,,,,,"2.1247819503326855","1.8890612084450877"
"1983",,,"6.4589201790228969","4.3450402636607377","1.8307651646082932",,"0.47643043780328215",,,"2.1138799153621592","2.5142750990524445",,,"1.354334726805011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"289200","2828.9589999999998","1165850",,"0.25664386068004214","15707.732933884894",,,,,"101454.99321337168","136501.46409711934","287571.70270326885","748364.20785878133",,,,"66408.522329624","98733.904445581968","236372.53546376748",,,"58024.489250794977","78068.387620543188","147755.20548614149","405440.9730667331",,,,,,,,,,,,,,,,,,,"2.2100779777120891","1.826393024597236"
"1984",,,"6.3910128414361242","4.4764290031057543","1.8817831566373544",,"0.49859991446774177",,,"1.9145838383303699","2.5946458464684001",,,"1.3831832421696126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"295600","1846.5810000000001","1295126",,"0.27800065042444416","15760.202026087873",,,,,"100723.65353235522","141098.85088877165","296572.82717894064","785803.53822017438",,,,"60348.45617593878","102230.35681622941","242213.85928547027",,,"51741.36623878168","72481.954969614075","166799.93311630591","417519.22293372225",,,,,,,,,,,,,,,,,,,"2.1321966767801102","1.8832387698256909"
"1985",,,"8.2424897603607032","5.9840649924059859","2.4484950288793734",,"0.66094092842187457",,,"2.2584247679547174","3.5355699635266125",,,"1.7875541004574989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302000","2472.413","1442931",,"0.29344510390221179","16282.150068297778",,,,,"134205.45521460078","194866.88844960293","398667.6350169506","1076153.9382845021",,,,"73544.02197959859","143916.70180776602","323391.37909833377",,,"61996.7932050608","90019.605882677453","232634.59394225696","491263.50384165073",,,,,,,,,,,,,,,,,,,"2.1148766734225233","1.8969601964405021"
"1986",,,"8.6415388380246014","6.4344041629321111","2.6121662678185102",,"0.69757168069367692",,,"2.2071346750924903","3.8222378951136009",,,"1.9145945871248333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"308400","2832.4180000000001","1598814",,"0.31906526684869607","16248.154620796373",,,,,"140409.05920184075","209094.38746403356","424428.8141474374","1133425.2526999658",,,,"71723.730939647896","155260.78079318264","345651.43208604539",,,"59741.4829534249","88965.832086250637","246473.81359312864","567201.50260413287",,,,,,,,,,,,,,,,,,,"2.081556504802994","1.9245933943896445"
"1987",,,"8.1209007892293172","6.1258231726303567","2.5084428675069623",,"0.63285560692994502",,,"1.9950776165989605","3.6173803051233944",,,"1.8755872605770172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315200","2980.6930000000002","1812237",,"0.34713884224435154","16562.487881932946",,,,,"134502.32091199027","202917.74412710863","415460.54595605191","1048166.3320790534",,,,"66086.897696871893","149782.0436698728","345159.90305349621",,,"54706.941449344507","82533.959798794807","237972.34649785864","570008.33300540992",,,,,,,,,,,,,,,,,,,"2.0416496150608912","1.9600157150171302"
"1988",,,"8.521115861147905","6.3824357483441982","2.7106107295707291",,"0.82870319250651936",,,"2.1386801128037067","3.6718250187734691",,,"1.8819075370642098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"322000","3284.6730000000002","2165023",,"0.37971703546691427","17707.064168916724",,,,,"150883.94534412003","226028.3986998375","479969.58125463076","1467390.0606699085",,,,"75739.491988402588","162543.10306113918","370256.19465293328",,,"62908.836699687301","94239.208756573091","250537.37140117824","710463.58380503708",,,,,,,,,,,,,,,,,,,"1.9897698662008234","2.0103358711439099"
"1989",,,"8.1867505642453509","6.1651823989223802","2.3758534984202599",,"0.7756124304282519",,,"2.0215681653229707","3.7893289005021202",,,"1.600241067992008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328800","3748.5259999999998","2500995",,"0.40310536452058748","18869.588825239629",,,,,"154480.6169621083","232668.91380053957","448313.78624197416","1463548.7649925891",,,,"76292.320123677011","178757.69569018096","335509.89971412806",,,"63205.336877085247","95195.872251052366","232080.14342391753","712617.12481294095",,,,,,,,,,,,,,,,,,,"2.1611897485117191","1.8611856944842013"
"1990",,,"7.4229914682356837","5.1637823963912037","1.8370532550278855",,"0.63545823382910105",,,"2.2592090718444799","3.3267291413633182",,,"1.2015950211987845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"335600","3939.8209999999999","2926523.6",,"0.43926891440052007","19851.787044575365",,,,,"147359.64586111461","205020.61695537044","364687.90008357581","1261498.1533697292",,,,"89698.674766858763","165103.79617331913","265042.31638511439",,,"75706.003223772204","113241.57749807196","142096.91938872996","623499.89473188622",,,,,,,,,,,,,,,,,,,"2.5410197773860919","1.6489209383777148"
"1991",,,"7.115445246547079","4.850256544676629","1.7586862084312174",,"0.56863248467474548",,,"2.26518870187045","3.0915703362454119",,,"1.1900537237564719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"342400","4548.99","3357284",,"0.50019656381306776","19602.597415729622",,,,,"139481.20860172939","190155.25281660756","344748.17724473111","1114667.3674585079",,,,"88807.164386851247","151507.02170957666","259201.60055431144",,,"77118.180787725549","105135.50399695188","134510.01672075034","531101.79781422892",,,,,,,,,,,,,,,,,,,"2.5446181179756477","1.6474092129066726"
"1992",,,"6.9646330278942239","4.8062159153766553","1.9128483996075138",,"0.5922984259041072",,,"2.1584171125175686","2.8933675157691416",,,"1.3205499737034065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"348800","5118.777","3822161",,"0.55915891480728008","19597.345405259355",,,,,"136488.31906852042","188378.14677178217","374867.50795006024","1160747.6835434202",,,,"84598.491365258669","141755.80647721267","287547.48843968683",,,"73041.161103561943","100809.78841742968","172256.24869808397","666654.10640882864",,,,,,,,,,,,,,,,,,,"2.2790344285598594","1.7818397829415422"
"1993",,,"8.5260464541191254","6.0198533252427122","2.86438269976657",,"1.1506218026857404",,,"2.5061931288764132","3.1554706254761422",,,"1.7137608970808296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"356400","7022.2429999999995","4472853",,"0.59473280220786207","21102.068939197798",,,,,"179917.22005362471","254062.7197462616","604444.01198719663","2428050.060321854",,,,"105771.72036098779","166467.39668602785","401821.11772779038",,,"90345.176556345017","127577.23393580626","283248.42648925178","771335.70923858078",,,,,,,,,,,,,,,,,,,"1.9001171229190852","2.1109665337295151"
"1994",,,"8.0934242838268453","5.8170009498073245","2.6147725576297178",,"1.0693814864812194",,,"2.2764233340195208","3.2022283921776067",,,"1.5453910711484984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"363200","7080.5320000000002","5317179",,"0.65546389225723123","22335.036597685175",,,,,"180766.92757986652","259845.85820543201","584010.40769282624","2388467.4637445011",,,,"101687.99695430101","178804.72083358347","383515.17924264009",,,"86130.865513190016","123809.97435143791","280340.25570893078","839639.34464829543",,,,,,,,,,,,,,,,,,,"1.9634730775397462","2.037911720951795"
"1995",,,"8.6722991363715209","6.6116660890400656","3.521547854589921",,"2.0482796985558234",,,"2.0606330473314554","3.0901182344501446",,,"1.4732681560340977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"370800","7632.7579999999998","6168511.9999999991",,"0.72248435887698792","23025.668031418485",,,,,"199685.48098324786","304476.05700164702","810859.91856541496","4716300.8374440316",,,,"94894.904964848698","177880.09161070504","376922.03869001317",,,"78157.028106767291","119172.12822754896","317371.10346688062","808326.00832248025",,,,,,,,,,,,,,,,,,,"1.6431171158428617","2.5549267394157469"
"1996",,,"8.7215996061237746","6.4653945853111425","3.080082417426306",,"1.5381386835819169",,,"2.2562050208126321","3.3853121678848366",,,"1.5419437338443891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"377200","9454.3079999999991","7057315.9999999981",,"0.78734250494764757","23763.159457968246",,,,,"207252.76216887232","307276.40497886634","731924.89628985629","3655103.4806426452",,,,"107229.11935887828","201114.28215111885","407127.27580621297",,,"89503.004683408668","132698.64886777877","328662.17543937213","821009.55321759707",,,,,,,,,,,,,,,,,,,"1.8249301027180842","2.2122239165537461"
"1997",,,"10.699744510033165","8.3974454267966934","4.3551360700505999",,"1.8793970918716714",,,"2.3022990832364716","4.0423093567460935",,,"2.4757389781789287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"383600","11138.392","7928578",,"0.84374974961688765","24496.444144159541",,,,,"262105.69374680513","411415.10570230638","1066853.4748020901","4603854.5885730274",,,,"112796.28179130389","247555.51342736039","673853.35104976385",,,"100004.67839796282","168376.4876568483","336766.13907827943","1579315.042829829",,,,,,,,,,,,,,,,,,,"1.6403437403948298","2.5616612405446637"
"1998",,,"8.9472870098565789","7.0220699487454246","3.6418301716627477",,"1.5715800662995032",,,"1.9252170611111543","3.3802397770826769",,,"2.0702501053632445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"390000","14690.789000000001","9309962.1999999974",,"0.95538514396401031","24986.465510308582",,,,,"223561.07828261342","350913.41717060382","909964.63978652435","3926823.1123281009",,,,"96208.739394623015","211150.61151662367","574758.14283746015",,,"85298.237578736705","143615.45756562965","287242.14306516014","1347064.8762939845",,,,,,,,,,,,,,,,,,,"1.640343740394828","2.5616612405446681"
"1999",,,"8.9472870098565789","7.0220699487454246","3.6418301716627481",,"1.5715800662995032",,,"1.9252170611111543","3.3802397770826764",,,"2.0702501053632449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"396400",,"10175696.300000001",,"1","25670.27320887992",,,,,"229679.30202128063","360516.90815232095","934867.75486924802","4034288.9671537862",,,,"98841.6958902404","216929.19647308913","590487.62017096591",,,"87632.60501885516","147545.79959326485","295103.13439668919","1383930.1677256534",,,,,,,,,,,,,,,,,,,"1.640343740394828","2.5616612405446681"
